 Procedimentos hospitalares do SUS - por local de internação - Brasil
AIH aprovadas por Unidade da Federação e Ano/mês atendimento
Período:Jan/2008-Set/2021
"Unidade da Federação";"1992/Mar";"1992/Abr";"1993/Mai";"1993/Dez";"1994/Jan";"1994/Fev";"1994/Mai";"1994/Ago";"1994/Nov";"1995/Jan";"1995/Mar";"1995/Jun";"1995/Ago";"1995/Dez";"1996/Fev";"1996/Mar";"1996/Ago";"1996/Dez";"1997/Fev";"1997/Nov";"1998/Fev";"1998/Mar";"1998/Jul";"1998/Ago";"1998/Set";"1998/Out";"1998/Dez";"1999/Fev";"1999/Mar";"1999/Mai";"1999/Jul";"1999/Ago";"1999/Set";"1999/Out";"1999/Nov";"1999/Dez";"2000/Jan";"2000/Fev";"2000/Mar";"2000/Abr";"2000/Mai";"2000/Jun";"2000/Jul";"2000/Ago";"2000/Set";"2000/Out";"2000/Nov";"2000/Dez";"2001/Jan";"2001/Fev";"2001/Mar";"2001/Abr";"2001/Mai";"2001/Jun";"2001/Jul";"2001/Ago";"2001/Set";"2001/Nov";"2001/Dez";"2002/Jan";"2002/Fev";"2002/Mar";"2002/Mai";"2002/Jun";"2002/Jul";"2002/Out";"2002/Nov";"2002/Dez";"2003/Jan";"2003/Fev";"2003/Mar";"2003/Abr";"2003/Jun";"2003/Jul";"2003/Ago";"2003/Out";"2003/Nov";"2003/Dez";"2004/Jan";"2004/Fev";"2004/Mar";"2004/Abr";"2004/Mai";"2004/Jun";"2004/Jul";"2004/Ago";"2004/Set";"2004/Out";"2004/Nov";"2004/Dez";"2005/Jan";"2005/Fev";"2005/Mar";"2005/Abr";"2005/Mai";"2005/Jun";"2005/Jul";"2005/Ago";"2005/Set";"2005/Out";"2005/Nov";"2005/Dez";"2006/Jan";"2006/Fev";"2006/Mar";"2006/Abr";"2006/Mai";"2006/Jun";"2006/Jul";"2006/Ago";"2006/Set";"2006/Out";"2006/Nov";"2006/Dez";"2007/Jan";"2007/Fev";"2007/Mar";"2007/Abr";"2007/Mai";"2007/Jun";"2007/Jul";"2007/Ago";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"2021/Set";"Total"
"24 Rio Grande do Norte";-;-;-;-;-;-;-;-;-;-;17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;5;272;468;975;2371;6278;14637;12650;14610;16052;15704;14294;13989;13562;13807;12847;12467;11910;12811;11594;14238;13246;15515;14541;15068;15070;15187;15495;14972;14142;14309;13298;16821;15348;16129;14345;14826;15071;14603;14064;14108;13552;13725;14140;15967;14968;15377;14622;14578;15094;14297;14090;13881;12592;13197;13238;15576;14009;14617;14261;15114;14601;12360;13315;12632;11613;12988;12070;14982;15753;15548;14365;14807;14155;13932;14484;12848;12445;12992;12953;13639;14400;15038;13364;13861;13410;13468;13598;13003;12405;12202;11425;14462;14299;14539;14035;14487;14057;13748;13585;12684;12276;12740;13194;14838;13983;14343;13896;13761;13038;11783;12743;12466;12301;12714;12385;15286;14004;15355;14342;13673;14848;13379;13624;13203;13048;13812;12939;15596;15554;16112;14756;15534;15692;14653;15175;14365;13978;14708;13929;15121;15991;16756;15173;15925;16011;15713;15706;14505;14003;14472;14169;14286;11196;10922;12369;13426;13623;14308;14539;14171;14404;13479;13714;16086;15646;16245;15099;13366;10415;5266;2323315
"25 Paraíba";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2;-;-;3;2;-;1;-;-;-;-;-;5;-;-;-;2;-;3;107;273;1071;2328;7268;22376;18117;20339;21316;21739;19279;19800;19368;19249;18011;17182;16509;17964;17028;21831;20923;21822;19323;20757;20824;20253;20987;20288;18887;19535;18163;21225;20341;21994;19229;20991;20783;19920;19851;18977;17346;18501;18905;20556;18087;18798;17688;17404;18503;17872;17669;17479;16699;16848;16367;18697;17768;18767;16545;17565;17514;16175;16306;15950;14557;16070;15205;17845;18257;19200;17662;18034;17469;16645;17014;15893;15168;16200;15159;16724;16808;17711;16165;17092;16986;17272;17137;15891;14828;14883;13300;16740;16451;16613;15320;16011;15955;15733;15671;14950;13743;14454;14592;16285;15530;16142;14838;15100;15540;14764;14394;13857;13215;14160;13248;16418;15551;17277;15731;15742;16882;15881;16332;15170;14209;15445;14123;16573;16600;16929;16061;16311;16668;15557;15933;14977;14555;14917;14472;16406;17196;17666;15727;16822;16372;16002;16363;15293;14276;15067;14170;14173;11218;11987;12533;13234;12789;12723;12549;12963;13859;13907;13510;15664;15476;17183;15740;13830;11443;8120;2761317
"26 Pernambuco";-;-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;11;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;15;10;11;-;3;-;4;22;282;1026;3217;7527;23763;61302;38056;44040;46722;46309;41409;43630;43283;42232;41535;38754;36771;63336;35936;46543;43368;45141;41845;43286;43998;43183;43563;41939;39712;71704;38138;47396;44815;51768;43258;44597;46789;45224;45032;44004;43500;46357;42871;47601;45587;47265;44094;44891;47498;44395;45422;44607;42692;44349;40691;48212;45557;48776;44624;46526;47983;44264;45064;42570;39893;44751;39560;44950;46809;48733;45044;45833;46724;45449;47565;43645;41470;44367;41757;45233;46099;48065;44705;47973;47849;47463;47491;44876;43084;43606;40452;49291;46880;48801;45202;46912;46202;43375;44005;43363;41309;42584;42095;46752;44781;46647;45199;45359;47451;44204;43726;41646;40178;43629;40340;49194;46298;50449;47800;47569;50224;45653;47728;45194;43548;46220;41440;47676;49316;50325;47507;47286;50078;45836;49147;45214;43835;46890;44743;47633;49681;53115;47865;50716;51000;49924;51264;48174;44583;48117;43503;41832;32020;35511;37018;40826;42539;42594;43614;41798;41055;41934;40971;47102;47235;50791;46710;43278;39511;27187;7481584
"27 Alagoas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;195;275;907;1720;4486;21364;14076;15790;18357;17654;16817;15486;15330;15283;14976;14642;13967;14802;13042;17226;16298;16592;15218;16073;15636;15746;16182;15685;14496;15019;13569;17621;16831;17669;14897;15795;16351;15908;15449;15244;13868;14167;14844;16397;15342;17211;16300;15687;16687;15495;15741;14765;13749;14544;14097;15519;14079;15164;14330;15232;14676;14341;14160;13785;13188;14236;12395;14878;15286;16014;15175;16044;14694;14494;14872;13746;12497;17936;12799;13671;13925;14864;13990;14840;14582;14894;14712;14071;13179;12943;11652;15384;14530;15097;14397;15187;14495;14236;14630;14056;13256;13587;12954;15081;14868;15447;14770;15542;15769;14623;14160;13099;12464;14170;12654;15417;14311;16282;15280;15319;16007;14584;15311;14504;13806;14529;12931;15291;15756;16128;14554;15262;15691;14547;15650;14105;13082;14787;13747;14344;15068;16134;14281;16014;15947;15063;15866;14428;13276;13884;13065;13053;10388;10178;10532;11583;11734;12862;14202;13900;13247;13439;13047;14927;13981;14375;13085;12124;10680;6479;2420962
"28 Sergipe";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;-;-;2;18;58;192;866;4034;9298;8321;9393;9951;9521;8844;8855;8430;7976;7971;7318;6801;7530;7122;9136;8319;8803;7833;8242;8101;7996;7953;7256;6693;7313;6794;8876;8472;8888;7425;7994;8179;8105;7798;8002;7590;7988;7166;7968;7967;8666;7824;7698;7986;7538;7834;8093;7557;7758;7449;8398;7862;8526;7497;7545;7716;7090;7979;7080;6505;7140;6623;7804;8138;7830;7468;7539;7602;7489;7471;7245;6867;7550;7162;7505;7423;7867;7061;7135;7610;8162;8051;7806;6806;7556;7173;8860;8445;9126;7705;8303;8497;8343;8412;7687;6742;7332;7150;8372;8405;8650;8268;8358;7838;8163;7704;7276;6860;7428;7017;8350;8130;8993;7863;8188;8228;7507;7811;7203;6963;7841;6895;8374;8218;8710;8153;8359;8386;7736;7813;7673;7144;7747;7370;8123;8648;9059;7994;8084;7930;8078;8443;7829;7756;8001;7762;7994;6197;6226;6603;7115;6926;7161;7633;7516;7196;7577;7344;8711;8227;8849;7655;5369;4127;1922;1286700
"29 Bahia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;4;6;-;-;-;1;7;55;312;1087;3275;17702;85914;60993;75006;80573;75881;69198;91182;75848;75074;71669;64643;61896;67990;64126;81365;76295;76771;71157;75225;76577;75979;74433;74011;69139;71937;67226;82803;77954;82216;69310;73221;78157;74639;74344;73436;69611;75173;70505;78737;75869;77325;71443;72047;80728;71902;73940;71867;70153;72241;67165;79430;72410;77175;71627;75319;74490;69791;69335;65348;61770;65614;59826;69310;70350;71231;67682;71091;69949;68910;71172;65865;62786;68184;63751;68928;69803;73396;65810;72469;72664;72855;73854;67380;63091;66911;60272;75699;69617;72654;68438;73324;71422;70789;70754;70523;63510;65785;67628;75626;70110;71138;66153;69430;72236;67388;65069;61152;57617;64978;58781;71007;65200;73409;67168;70457;71992;66234;69345;66067;63160;69591;60632;70381;71526;73330;67352;72229;72712;69424;72600;67485;65372;68290;65385;69435;73113;78370;69170;75377;73568;71377;74515;68337;63430;67886;64783;63984;48184;49724;51266;55718;57083;59909;64245;61063;57027;58032;56828;63277;62127;68430;62228;57968;47609;25676;11417106
"31 Minas Gerais";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;5;-;1;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;5;-;1;-;1;-;-;-;-;1;-;-;156;-;-;-;-;3;-;-;3;-;-;-;6;4;-;1;2;7;32;542;1712;7314;16704;45832;173399;87923;98695;100205;97799;94915;96763;94759;96915;98250;90231;89594;95594;86029;102545;93834;96798;93338;97197;96338;96142;92828;90975;87738;91998;88850;105939;96786;99391;92855;95841;100743;98170;93831;92741;92018;96859;92380;100749;96376;103022;96284;95761;100611;96016;95325;94665;92924;99219;91842;104665;97617;105599;98365;101857;103252;96802;101656;91553;89960;95671;88293;103186;105634;104201;100764;102513;101752;100197;103055;95832;93975;101562;97265;103047;105792;109252;101486;104632;104753;105441;105936;100019;96522;97039;90428;111500;104970;107033;102500;101710;100734;100727;101724;97598;94378;95769;95104;107994;102359;104762;101804;99415;102268;97546;96213;90707;92559;96632;88955;106391;96790;108628;101996;102192;105711;99265;102570;99155;96587;102867;91408;106697;106977;107467;103629;107773;109056;102226;108087;101595;99063;104374;98222;105854;111283;116131;106341;111848;108878;107201;110318;103499;101561;105666;98555;97102;77315;84585;86325;91884;92286;93865;96340;95670;94152;95672;89876;105316;97491;104932;99250;90283;78257;46674;16400010
"32 Espírito Santo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;1;-;-;7;39;187;979;2536;7841;19470;14258;16975;17285;16297;15882;15647;16179;16063;16327;14858;14518;15396;14247;17741;16784;17197;16525;16947;17356;16656;16180;16066;15347;15383;14331;18077;16919;17420;15951;16725;17899;17527;17135;17133;17091;17573;17041;18888;18226;19187;18433;17889;19108;17620;17743;17899;17532;17436;16955;19417;17724;18749;17980;18945;18979;18024;19259;17508;17084;17055;15703;18359;18982;18601;17487;18516;18552;18205;19353;17931;16857;18319;17630;18513;18807;19641;18323;19477;19927;19815;19467;18732;18507;18700;17091;21182;19016;20107;19902;20708;20000;18686;19154;18486;18103;18606;18332;20692;19749;21163;19880;19912;20349;19220;19540;18687;19164;18932;17443;21657;19929;21362;20099;19855;21468;19928;20744;19919;19039;20414;18285;21251;21200;21898;19718;20691;20368;19293;20721;19873;19314;19770;19503;20941;20877;22071;20405;21946;21722;21227;22040;20033;20097;21036;20537;20321;15651;16547;16565;18500;17936;18449;19132;20003;21020;20563;19453;23375;20569;22777;21544;19713;17337;8484;3081319
"33 Rio de Janeiro";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;2;-;1;-;-;1;-;-;1;-;-;-;-;-;1;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;2;-;3;1;1;-;1;3;-;1;-;-;-;-;7;4;1;2;5;4;32;406;813;3200;7497;17796;213446;61399;62790;65015;61589;59986;59182;58066;57110;57719;51270;50339;61725;49276;62124;57318;60888;61578;61450;58656;56817;57031;56953;53213;61279;53007;63507;78853;63501;58009;60082;62332;57660;56966;55618;55057;72906;62923;60913;61657;64275;59359;57641;60337;55688;54554;51923;50617;63838;50872;60883;56051;61523;56597;56077;55715;52720;55670;49395;48069;81843;48877;56155;58398;59533;56594;57949;57179;55933;55591;50675;48526;59814;50392;54134;52464;57069;55942;58566;58933;59365;57531;54082;56744;57783;51974;62156;57902;63316;61842;63336;59165;58883;58184;55478;52395;57354;53198;62250;57181;57760;56438;64327;56424;52607;52247;49624;50121;55203;49627;57253;54212;61397;58231;59505;60461;54854;57881;54911;54071;60074;52257;61660;61741;62871;61421;61793;63356;58465;61312;57100;54711;62131;57996;60817;62056;66013;62218;65247;64333;62482;63994;58824;56465;61081;55116;54841;45671;50280;50418;55528;57544;57345;56936;56891;56553;60035;53806;67341;62452;64714;60147;58549;51713;30484;9729437
"35 São Paulo";42;13;16;32;40;20;20;16;24;20;-;20;-;16;16;16;40;20;39;35;17;4;756;1489;1387;19;-;91;91;36;36;20;63;21;129;50;24;20;1;20;20;24;84;39;17;2;21;1;207;382;19;2;71;20;-;20;47;94;12;39;22;-;19;19;58;46;20;20;37;-;35;23;21;20;1;75;1;61;64;74;112;17;20;55;55;79;58;76;20;38;88;19;1;10;13;245;28;13;59;42;8;59;92;79;44;39;24;86;42;-;20;-;-;10;32;64;48;20;4;76;80;605;2349;7374;20908;69418;776308;185424;196292;197998;194572;194274;199476;197696;200207;201527;186728;172055;182396;174641;212291;202948;204082;198990;204255;206033;205033;201291;195321;180902;195241;186313;225150;205586;213090;200474;201506;220904;203220;206015;201149;189971;203610;196758;216346;204467;216153;202668;204583;213925;200574;201340;192844;184663;198927;191856;217732;202013;217040;200782;206650;211362;197401;222410;187398;178315;199607;182833;205313;213730;207821;200511;202200;207010;202219;219084;191545;181983;206611;194610;204706;206617;214614;201306;210670;214705;215231;210517;192600;185946;202110;185903;222566;208482;212715;207217;202971;206049;200772;198619;192909;185017;196724;190953;218340;208663;211105;209090;202599;210153;199656;200781;191843;184766;198613;186978;221064;199455;218310;206302;207619;221467;202899;211268;199638;190798;206406;188742;217058;214434;216358;207759;210411;217371;203309;219959;203096;195481;214024;200078;215743;220231;228400;210317;217353;220742;214419;223763;205978;196946;217091;200082;195266;146523;164615;171032;184096;185925;190535;196360;193982;186506;193733;183358;206522;184645;203011;194824;180948;171739;113214;33816949
"41 Paraná";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;1;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;5;1;1;-;1;4;26;646;1394;4397;10019;29556;66209;57836;64918;65000;65191;64095;67194;62628;64621;65187;59416;57034;59901;58283;70984;64644;67658;65752;69770;68570;66794;66679;65124;61475;63445;62182;75306;67295;69203;66806;68118;69884;68508;66338;66841;63485;65811;63008;68519;63424;68299;62638;63526;66955;62932;65132;64356;60212;62317;60809;69384;65447;71003;65885;68148;69708;63440;68453;62374;57282;63014;58006;65816;69225;65907;64921;67676;67317;64388;67327;61986;57486;62100;60349;63870;63944;67400;63137;67155;65482;66217;68348;61946;58930;59853;57314;69542;65614;65422;65771;67905;67471;65475;65494;64572;60923;63760;63205;72622;68953;70783;70742;69700;71030;67815;68066;64562;61804;65689;62764;75847;68144;76642;72023;73376;76079;71702;73136;71731;66638;71698;66321;77205;77107;76675;74811;77485;77894;72632;77616;73922;67978;73970;71266;75898;78323;81018;74036;79212;75807;74963;77495;72990;68866;73521;71567;68657;54030;56963;56607;57605;58197;61779;65615;65777;59700;62234;62025;64971;63520;68096;58837;52557;44508;21414;10984982
"42 Santa Catarina";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;1;114;766;842;2519;5870;14816;52793;29307;32052;31918;32154;32690;33225;31423;32620;32988;29718;29790;31343;28934;34597;31817;33420;33635;35156;35481;33209;33547;32355;30368;31241;30418;35499;32458;33640;32944;33505;34656;32791;32816;32401;30667;32719;32197;35332;33565;35622;33681;34449;35466;32888;34222;32836;31070;33427;32178;36238;34128;38008;35060;35868;37039;34114;36144;32251;28778;33639;30486;34632;36347;35807;35556;37052;36564;35772;38298;35208;31693;35125;33638;36060;36136;37832;36902;38998;38117;38195;38560;36092;33219;34681;33222;39405;37034;39345;38925;40189;39419;38848;38807;38308;34658;37789;36851;41225;39452;40711;41946;46477;41287;39241;39256;37726;34360;36345;34847;41444;37626;43734;41012;40991;41897;38735;40528;39387;36805;37750;35798;41321;41953;41388;41813;44504;42991;40180;43126;40948;37680;40943;38485;41199;43128;45246;42061;45946;42895;43091;45413;41861;39194;42177;39939;37731;28923;31014;33312;34972;33558;36069;39135;39464;36290;37170;36837;37505;34868;38249;37128;32950;27051;14812;6020296
"43 Rio Grande do Sul";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;4;19;251;1261;4907;10118;27857;59731;55069;61981;60256;59481;61247;64957;61716;62381;62771;58966;55916;59546;52516;63938;59968;62237;61688;67181;62868;61358;63420;61235;58719;60162;54508;65389;60789;62943;61134;63502;64580;60160;60655;58433;55424;59924;54461;61917;58548;62816;61581;61576;61977;58146;59506;58531;56486;61231;55332;63468;59209;65134;62230;65482;65417;58120;62795;57544;52509;60972;52793;60396;63133;62236;62421;67660;64630;62478;66901;61395;57669;63948;58336;63124;62834;66134;63518;68245;66304;66003;67606;62817;59572;62747;56158;69534;65134;66090;65531;66739;64739;62233;62949;62064;58866;61138;57807;65237;62781;65443;65237;65040;67473;62258;63129;59389;58296;61583;54695;67866;60168;68503;66860;66577;67272;60587;63173;60870;57847;62907;54512;64235;64657;63871;63258;67440;66977;60077;65406;60409;56459;62841;56740;62051;64800;68693;66257;69638;68249;64638;66959;62077;59879;65292;58402;57158;44976;50748;52744;53325;53980;55703;59065;59520;56505;58901;55060;60256;56110;61486;59053;55995;47560;22058;10125253
"50 Mato Grosso do Sul";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12;162;421;954;2200;6235;12443;12133;13502;13229;13095;13475;13700;12811;13430;13450;12444;11237;12070;11618;14644;13573;13273;13073;13832;14520;13742;13377;13526;12608;13452;13213;16365;13949;13790;13237;13139;14679;14182;13391;13039;12374;13442;12937;14270;13776;14256;13257;13385;13110;12800;12648;12880;12301;13020;12966;14520;13287;14621;13393;13421;13859;12901;13224;12350;11409;13307;12559;14409;14509;14425;13629;14211;13562;13838;14047;13233;12592;13114;12398;13852;13927;14608;13691;13928;14323;13700;14172;13035;12815;13009;12331;15397;14430;14570;14057;13783;13871;13523;13446;13006;12706;13396;13442;14626;14202;14746;14321;13610;14077;13989;13404;12941;12390;13458;12424;15191;13889;15486;14145;14274;14518;13511;13774;13413;12937;13806;12388;14697;14656;14735;14031;14753;14722;14033;14515;14085;13217;14147;13696;14941;15568;16279;14892;14845;14947;14819;14941;14526;14107;15289;14784;14567;10936;11684;11703;12319;12381;12833;13281;12987;12978;13093;13395;14918;13579;14914;13303;11440;7832;2850;2240221
"51 Mato Grosso";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;2;-;-;-;1;6;102;320;999;2130;8008;14044;13595;16131;15614;15722;15204;15269;14601;15071;14566;13376;12681;14000;12917;16679;16100;16003;14875;14879;15679;14798;14158;14887;14146;15228;14046;16931;15404;15695;14362;14829;15662;15512;14780;14547;14456;14909;13660;15264;14885;14813;14405;13970;15129;14721;14792;14831;14368;14573;14030;16292;15741;16584;15248;16082;16097;14975;16108;14360;14089;15264;13913;16223;16580;15964;15122;15179;15621;15029;15946;15220;14297;15048;14536;16383;15974;16532;15811;15902;15891;16012;16586;15246;14258;14467;13847;16870;16286;16652;15416;15745;16165;15869;15889;15762;15014;15269;15305;17572;16803;17246;16414;15783;16857;16339;16056;14590;14508;15289;14762;17524;16357;17060;16387;16281;16488;15909;16069;14953;14460;15580;14419;17266;16930;17106;16137;16557;16416;15711;16663;15335;14590;15878;15156;16702;17060;17814;16451;16957;16902;16770;17374;15831;14616;16211;15030;15162;11783;12897;12993;13769;13999;14362;14717;14372;13960;14863;14274;16959;16112;16709;16019;13870;11768;6716;2539511
