 Procedimentos hospitalares do SUS - por local de internação - Brasil
Valor total por Unidade da Federação e Ano/mês atendimento
Regime: Privado
Período:Jan/2008-Set/2021
"Unidade da Federação";"1992/Mar";"1992/Abr";"1993/Mai";"1993/Dez";"1994/Jan";"1994/Fev";"1994/Mai";"1994/Ago";"1994/Nov";"1995/Jan";"1995/Mar";"1995/Jun";"1995/Ago";"1995/Dez";"1996/Fev";"1996/Mar";"1996/Ago";"1996/Dez";"1997/Fev";"1997/Nov";"1998/Fev";"1998/Mar";"1998/Jul";"1998/Ago";"1998/Set";"1998/Out";"1998/Dez";"1999/Fev";"1999/Mar";"1999/Mai";"1999/Jul";"1999/Ago";"1999/Set";"1999/Out";"1999/Nov";"1999/Dez";"2000/Jan";"2000/Fev";"2000/Mar";"2000/Abr";"2000/Mai";"2000/Jun";"2000/Jul";"2000/Ago";"2000/Set";"2000/Out";"2000/Nov";"2000/Dez";"2001/Jan";"2001/Fev";"2001/Mar";"2001/Abr";"2001/Mai";"2001/Jun";"2001/Ago";"2001/Set";"2001/Nov";"2001/Dez";"2002/Jan";"2002/Fev";"2002/Mar";"2002/Mai";"2002/Jun";"2002/Jul";"2002/Out";"2002/Nov";"2002/Dez";"2003/Jan";"2003/Fev";"2003/Mar";"2003/Abr";"2003/Jun";"2003/Jul";"2003/Ago";"2003/Out";"2003/Nov";"2003/Dez";"2004/Jan";"2004/Fev";"2004/Mar";"2004/Abr";"2004/Mai";"2004/Jun";"2004/Jul";"2004/Ago";"2004/Set";"2004/Out";"2004/Nov";"2004/Dez";"2005/Jan";"2005/Fev";"2005/Mar";"2005/Abr";"2005/Mai";"2005/Jun";"2005/Jul";"2005/Ago";"2005/Set";"2005/Out";"2005/Nov";"2005/Dez";"2006/Jan";"2006/Fev";"2006/Mar";"2006/Abr";"2006/Mai";"2006/Jun";"2006/Jul";"2006/Ago";"2006/Set";"2006/Out";"2006/Nov";"2006/Dez";"2007/Jan";"2007/Fev";"2007/Mar";"2007/Abr";"2007/Mai";"2007/Jun";"2007/Jul";"2007/Ago";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"Total"
"24 Rio Grande do Norte";-;-;-;-;-;-;-;-;-;-;24509,71;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;26050,45;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;758,13;58980,24;107833,67;174767,53;489936,85;2172247,14;5983662,01;4800825,63;5430673,56;5712624,63;5670831,01;5376366,18;6001727,37;5829665,73;6112229,66;5606829,31;5445136,15;5684837,77;4872652,45;5966344,22;6840838,96;5988294,38;6143942,39;6808945,46;6955371,21;6757088,28;7220850,39;6820622,36;7123391,87;6557463,76;6776319,40;5968157,57;8022214,95;6888170,19;7340857,59;6123216,64;6680482,01;7218406,32;6942516,67;6489823,85;6845847,31;6253798,84;6061438,62;6841461,52;7364255,41;6946164,94;7686054,57;7448922,54;7511227,09;7726830,92;7630548,52;7479830,38;7169378,99;5707200,76;7010826,89;6829188,10;7940939,63;6805246,51;7793758,29;7243580,53;8261336,15;8082498,62;5266899,95;7210996,79;7170646,07;6557320,47;7754551,83;6976231,82;8264444,46;8829480,72;8485251,91;7780251,82;9131959,52;8672006,24;8402706,23;8602835,10;7022664,51;6871518,57;7119173,65;7654885,14;7439661,17;8335451,24;8942354,80;8190981,79;9122534,99;7195961,86;7312213,58;8091159,50;8161656,33;7038707,78;7090535,52;6664459,65;8968359,53;7861023,70;8705146,19;8593468,79;9091435,36;9106856,30;8318813,74;4910429,86;672771835,26
"25 Paraíba";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1540,74;154,82;-;-;-;-;-;-;-;-;-;-;1573,73;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1199,87;-;-;-;-;-;-;-;1161,17;-;-;-;-;-;-;-;-;-;2445,01;-;-;3768,70;-;-;-;-;-;-;-;-;2438,44;-;-;-;2090,10;-;1199,87;70525,48;258603,80;676396,61;1269505,90;2936783,81;7696010,72;5542602,61;6341218,69;6618496,54;6896942,81;6385700,64;6968842,79;6591739,84;6622673,96;6577209,84;6527207,62;6180350,98;6740769,87;5960731,34;7844900,11;7605089,61;7694282,61;7185034,96;7888069,11;7703907,93;7587919,24;8024360,82;7758531,04;6747932,24;7050631,91;6462624,17;8127417,99;7651777,25;7999604,73;7295306,13;8035502,27;8051497,80;7490553,33;7320199,25;7999482,03;7099974,76;7120246,78;7761875,06;7587373,14;7120376,30;7748266,60;6815785,95;6884696,89;7291271,75;7348252,75;7319541,28;7010117,52;6518030,43;6572263,10;6402256,90;7002476,24;6932708,26;7784267,43;6982231,72;7864694,62;7813193,06;7396053,87;7057134,66;7337165,33;6538333,12;7370668,15;6932272,23;7935806,50;8642777,21;8258635,97;7377388,53;8185389,39;7806085,04;7541853,96;7972861,47;7456007,62;6837839,23;7797376,57;7089940,64;7522758,66;7854890,16;8482843,68;7488617,46;7829572,73;7424171,86;7753542,52;7711190,91;7457561,85;6520799,87;7349200,48;6486559,19;8050347,83;7487028,21;8052196,66;7274329,44;8093561,58;7921465,05;6525863,72;3738865,94;689943368,66
"26 Pernambuco";-;-;-;-;-;-;-;-;-;-;-;-;10536,67;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10536,67;-;-;-;-;9878,20;-;-;-;-;-;-;-;-;-;-;-;1540,74;-;-;-;-;-;-;-;-;-;-;-;12295,07;-;-;-;-;-;-;1283,84;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1283,84;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3677,89;-;-;21520,65;5173,42;3971,76;-;1741,75;-;28468,49;8511,02;41820,79;367112,75;1287650,19;2382756,40;7204576,18;31594470,55;11765790,58;14787067,56;13825317,63;13810863,72;12805224,60;13772237,73;14100201,43;14148573,17;13650830,03;13758832,31;13190849,58;36411106,53;13101559,21;16492399,00;14885379,16;16241131,26;14785988,52;15847981,18;16191287,44;15455283,28;16302703,29;15280258,11;13801288,22;30494683,24;13062762,52;17619195,72;15985218,97;18129049,47;14909554,58;14873116,12;15733233,04;15139362,65;16066713,50;15418300,18;14990928,52;17231440,89;15126257,15;15768102,60;15518953,28;16854249,88;15933502,31;16889175,83;18661121,14;16233241,77;17906411,88;17211127,05;15245341,67;17383119,49;15431324,63;17956346,04;17281188,74;19405417,44;16982465,54;19333955,20;20546328,72;17447021,85;20540188,90;18547028,98;17543532,08;22221969,46;18305307,36;21593122,31;22937004,66;23686586,32;22096129,95;23651967,12;24981929,40;25084648,57;24226822,63;22685432,23;21735976,86;23303093,11;23166938,43;23825317,83;23546869,51;26259557,52;24018109,92;26589099,94;26504883,94;27992959,58;25888037,18;24435661,87;23418225,17;24434848,66;23260337,21;28048120,96;25682212,36;28421083,96;26158930,84;26074421,44;24533852,62;17769954,41;7340983,16;1820690318,47
"27 Alagoas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1237,07;-;-;-;-;1197,17;-;-;-;-;-;1577,94;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4585,04;93338,59;153116,20;536851,25;809491,19;1357298,60;10083988,76;5503320,06;6314640,26;6949229,04;6808341,54;7112314,55;6534392,44;6449128,95;6670789,17;6793487,91;7032528,47;6429667,81;6744110,20;6013303,13;8117326,09;7891096,31;7743092,35;7572612,27;7778338,30;8239340,32;8357525,34;8631702,32;8451995,07;7521002,54;7863599,45;7112280,87;9647912,87;8981983,38;9383431,01;8423531,45;8123817,18;8892871,41;8966646,19;8556933,07;8720248,14;7781518,99;7537582,68;8677072,77;9378291,04;8846602,69;9862727,34;9255410,74;8673613,61;9552180,45;8632106,90;8884934,52;8598791,47;7877892,28;8866095,82;7978291,80;9089065,93;7987845,53;9042581,88;8460430,43;8999372,48;9011145,19;8417959,56;9343976,54;8616647,64;8165317,80;8886429,52;8211785,74;9923676,34;10191219,47;10624898,84;10573774,13;11242728,10;10202355,35;10662911,17;11151694,89;10023328,24;8620597,62;13572739,40;9215704,51;10232886,16;10209113,74;10879188,05;10140759,30;11459050,45;11036366,85;11560747,99;11512906,34;10711806,04;9784317,28;10255169,85;9238475,62;12621874,27;10819200,34;11112996,48;10769488,50;10795949,78;9222299,78;8203020,70;3961823,72;838543961,91
"28 Sergipe";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1283,84;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1199,87;-;1199,87;1006,34;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1122,46;177,20;-;189,35;-;-;-;5298,74;53685,50;84584,45;570565,83;1878226,82;3991953,55;3045042,72;3601727,41;3665819,99;3767476,51;3520863,31;3582847,37;3263082,75;3321450,40;3402046,52;3487917,21;3062381,75;3489499,86;3349748,18;4385206,69;3931016,12;4089128,78;3998571,36;4228720,74;4276367,04;4237853,93;4114090,43;4072419,25;3491540,07;4019737,66;3786368,10;4759513,16;4323569,14;4672838,56;3672035,82;4206720,25;4589179,60;4614222,03;4199886,85;4299527,42;4055414,55;4603641,29;3953133,38;4552437,86;4548716,07;4989742,95;4544171,64;4342103,82;4420418,21;4087489,63;4256328,86;4380187,91;4247047,56;4581446,98;4399365,57;6120339,10;6010219,69;7087935,00;6660488,84;6373905,43;6674569,34;6369178,24;6898060,31;6034360,39;5987505,96;6813586,90;5908493,06;6774293,93;7056051,07;6730538,36;6697234,83;6634213,82;7014445,08;6956170,05;7393921,04;6585722,95;6446420,74;7335099,81;6500521,91;6692230,81;6315499,09;5775906,61;5031964,24;4171805,78;4185585,71;4740083,56;4878428,97;4952895,73;4154833,09;4608999,39;4116276,65;5063526,01;4788011,35;4783583,14;4155833,29;4576973,12;4072862,06;3384956,37;1937547,81;456531635,71
"29 Bahia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;124,23;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;311,36;-;-;-;-;-;414,09;37190,14;104634,46;304170,12;808127,32;4664560,68;45321476,16;16923477,39;20791121,10;21968823,56;20917502,39;19293303,65;21407250,63;21351969,70;21001177,37;21305053,16;20166973,30;20290076,08;21695293,67;20456668,66;25264773,89;23831079,29;24205794,73;23056518,41;23971963,88;25296219,93;24511001,05;24008966,35;23879304,46;21587753,31;21951660,82;20421133,09;26270990,87;23695002,44;25657707,78;21293212,14;23464319,92;25767520,56;23273714,00;22959466,28;23317126,74;21833131,95;24112911,56;23200716,35;24224444,48;24276661,23;25578451,91;22823530,90;24646476,05;26391667,86;24297231,82;24190507,03;23414124,70;22506165,65;24319695,96;21632613,00;26969361,53;24141092,05;26977344,17;23795189,16;25972784,18;26015761,00;23821826,81;24786283,93;23888570,78;22687638,10;24598218,63;21242326,96;25231329,71;26694373,89;27070085,33;24802517,94;27976860,72;27466709,42;28571377,70;29975268,68;26999023,90;26659900,64;29004072,15;28147651,49;27475581,09;28998722,55;30673850,64;25997077,61;29776089,18;29984383,30;30146675,29;31046684,92;28809555,29;25662109,18;27228314,28;24503664,05;31770647,59;27459858,92;30015432,72;28037207,73;28792340,22;29264902,51;25392252,82;14353452,17;2352827630,54
"31 Minas Gerais";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1401,46;-;-;-;-;-;-;-;-;-;1441,33;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1540,74;-;-;-;-;6375,77;-;-;-;696,70;-;-;-;-;2188,91;-;-;2135,70;-;-;-;-;-;-;-;-;-;-;-;915,13;631,81;-;-;25256,03;9197,88;40648,38;441371,63;1464585,22;4694492,07;11270531,76;26714278,62;108804139,34;48301829,69;52782614,89;53501926,52;54110633,56;54093035,53;55317216,04;54237983,16;55038576,44;59167120,51;56760293,92;59710532,87;61041701,56;56312142,07;66854135,96;61759842,11;65412469,10;64746510,81;68548688,55;66564366,09;66540324,38;64807491,30;64081767,22;62311546,86;64398402,18;61791165,07;73569147,01;68477057,38;71885847,55;68221997,77;69866744,60;73145414,20;70654887,72;68930521,19;69546552,89;66974165,68;72846495,50;69951501,78;76366177,96;72747276,08;79791881,71;76603500,71;76585579,36;80847063,35;77231172,54;77354120,34;75206146,87;73924341,61;77857902,33;73051228,90;83375654,38;76145468,09;85820966,09;79417742,45;83797022,99;86930453,07;78183612,28;84031572,32;77037484,44;73627701,09;82179878,81;73907094,53;87050980,95;90026285,46;88015290,48;87573861,67;91651458,44;90121814,63;90117336,86;94434016,69;87824013,49;86760309,10;93887020,55;91063744,06;96131094,34;99018108,85;103017098,82;94914346,79;101276234,31;98278923,55;99276547,22;102672475,10;98427196,67;94712669,36;95260222,42;89985181,23;109225006,32;101150769,98;105988713,10;102053630,79;97293307,17;92576680,50;79358884,58;40977232,61;7357885976,53
"32 Espírito Santo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;361,71;-;554,69;-;-;3171,36;18133,85;59508,66;158633,18;687701,32;2985943,75;7818224,09;6207509,51;7976564,72;7972437,96;7504975,32;7532884,75;7978345,76;8018204,38;7855303,77;8160592,95;8112792,32;8048472,92;8619240,66;7501179,22;9247970,49;9030863,00;9457139,68;9022997,18;9667817,69;9648992,26;9198942,84;9240730,74;9167199,30;8676492,98;9045235,81;8166722,78;10673561,59;9642068,51;10027536,48;9749874,70;10286912,81;10430026,10;10395046,61;10560859,29;10786490,58;9744139,19;10141905,17;10120449,30;11559993,84;10695809,69;11783762,92;11187298,81;11045205,07;12488081,94;10548207,36;10974608,68;10906375,07;10434683,86;10647885,16;10801318,78;11986308,75;11268765,37;11967394,47;11623005,66;13093814,70;13041653,52;12463050,55;12405116,65;11436618,88;11740506,19;12143099,75;11515485,67;12936306,75;12929011,34;12767915,11;12448237,48;12785004,59;12892551,54;12260692,90;12993504,59;12232411,60;11573765,83;11625198,67;11763131,91;13131292,79;12824105,40;13448969,51;13067952,98;13375624,22;13963983,13;13382407,17;14500013,74;13488994,57;12446552,86;12696519,56;11721000,07;14192189,32;12280825,53;12944634,64;12809110,03;14686698,51;12703472,92;9573779,80;4238165,18;1023792787,51
"33 Rio de Janeiro";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2361,04;2206,89;2408,35;-;-;-;-;-;-;-;2188,91;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1048,52;-;-;-;-;-;-;-;-;-;-;-;5735,05;-;-;-;-;-;-;-;-;-;-;-;3258,99;779,65;768,91;-;1225,30;-;-;1161,17;-;-;-;-;1544,86;488,99;-;2426,63;629,06;-;18026,72;184103,78;317508,92;1298914,78;3668935,64;6562131,80;199993347,49;28081286,60;23816446,46;24401726,86;23019770,73;23557724,68;24233866,51;22817135,92;22568744,63;24147685,29;22007700,53;23075595,96;37743350,96;19987288,20;26125801,06;24444496,81;25856542,95;31093089,67;27102736,56;25127723,04;23688839,03;23929315,72;25497217,55;22091352,13;30268506,23;21729858,34;25388158,22;44791252,43;26715142,38;24714023,59;25380708,77;28055228,66;26311679,25;25161073,74;23718513,82;24446924,08;34575633,40;31680266,30;24011646,74;25093424,19;25851731,54;24309965,85;24532164,16;26113609,60;23930138,20;24232775,25;22836415,70;21373705,85;31848928,09;19303494,67;25791807,31;21947652,23;24930018,85;23265200,49;24010671,99;24668209,15;21701016,10;23350800,10;21084770,90;18906667,25;45577102,03;19463975,85;21889210,17;24789284,73;23894620,59;22827755,04;23558180,32;21973625,17;21876343,94;22317926,54;19568322,93;18616264,22;24519001,24;20500139,96;21269699,55;20331733,01;22434627,14;21848966,40;23677464,44;21692021,23;22231423,60;21923032,02;20351366,02;19196450,26;20546138,09;17736947,90;21543474,52;19473310,15;21514842,67;20161508,97;21438068,67;19431964,85;15927855,29;8776351,86;2435397422,09
"35 São Paulo";40243,16;11449,99;34583,77;68556,52;39809,34;19904,67;19904,67;34532,40;23374,12;19904,67;-;19442,14;-;34523,06;14672,77;34569,76;37331,15;19904,67;38882,55;75358,43;16133,26;2750,47;859884,95;1675816,64;1398817,11;18977,88;-;167713,68;149751,54;54437,07;54469,76;19904,67;80286,48;20502,61;167831,88;93218,69;23044,30;18668,53;1267,55;19169,46;40991,75;23550,05;80448,30;38882,55;35816,24;4168,88;20367,77;1540,74;203908,30;377597,29;18515,35;3681,06;88740,95;19904,67;21166,79;45220,94;97349,49;11116,57;37218,28;22015,74;-;18977,88;18977,88;57860,43;63103,85;19942,62;19904,67;36037,93;-;53519,62;39729,48;22221,92;19904,67;2188,91;91152,01;777,31;86074,23;60790,28;92392,83;197071,10;17040,13;19904,67;54089,02;52643,02;78691,89;57860,43;75911,52;19904,67;59719,85;103488,24;18977,88;295,75;8733,40;11209,33;241658,52;26221,20;12288,96;80635,37;63357,24;6786,52;101603,43;121938,47;122631,65;43950,40;38882,55;22101,44;128217,43;61142,61;-;19904,67;-;-;8695,45;21631,83;61637,62;45027,44;19967,71;-;91291,81;92327,69;869145,45;1729298,47;7152390,69;18121833,04;42545407,26;671141686,69;108699467,57;99703897,59;98821498,15;99182598,22;99973115,67;101826013,62;100263236,70;103714308,83;108754002,41;107172632,50;99360973,61;109044512,03;98817403,88;118756749,45;112900563,65;115243496,18;115280809,84;116403658,88;117342553,56;117104472,92;118241868,23;112024890,22;101832144,86;113946030,43;103492970,69;124104231,17;115769413,91;121361372,17;118102788,43;119751837,28;134744863,19;119784197,86;117330686,06;119718700,39;110441900,91;120532264,26;117450470,15;127278686,95;124350768,67;136224321,12;127839105,38;129738492,02;131993976,49;125486271,90;123083012,46;117454314,45;109983706,55;126991074,35;115753000,87;127373080,45;120681496,02;132411136,98;121769444,87;127805981,99;132546722,13;124813597,63;149869075,35;117259985,64;110172340,42;132196486,52;117773731,71;131918638,59;137788782,91;138347418,30;133759416,19;136304557,21;138208565,43;136525105,12;145864322,23;127113577,71;117181168,11;137723667,37;128023359,62;133784563,25;133172436,09;143081568,93;133982822,10;139446172,36;137665322,68;141341801,66;142538016,85;128759367,65;120385633,93;132320577,02;118616208,05;142684942,10;134524431,88;136792042,00;133225052,87;133172958,30;124676495,36;102736765,67;56140719,67;12076745438,71
"41 Paraná";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3093,72;-;-;-;35,59;-;-;-;2160,89;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;478,86;1432,10;-;-;524,26;-;-;-;-;-;-;-;-;-;-;-;-;1197,17;-;-;-;-;299,17;-;840,14;1303,55;74,94;-;-;119,71;84012,39;383699,40;1047936,75;3637313,88;8657446,22;24041952,36;47403321,32;40812594,03;46712342,52;47063657,68;46660622,36;47371780,81;50227762,60;47771280,38;49031930,67;51466666,44;50675640,51;48819812,93;51048731,61;48330038,75;59043271,23;54128894,69;57899297,29;57401080,08;59623263,55;57713002,94;56818126,04;57113214,80;56155906,11;53000733,19;56045859,09;54216949,56;64381068,63;58364886,72;61510391,69;59606301,71;60772208,28;63969390,66;61738579,53;60841613,66;64472921,81;59236986,57;62647350,08;60407622,32;64369922,36;62363307,45;68733703,24;62974478,75;64772297,30;68216692,06;63824051,79;65617782,40;63434751,55;57610213,67;62088110,71;60592031,06;66384829,43;63740674,63;69747199,55;63596588,21;68880658,05;68733309,02;65139576,91;69319228,23;64037384,39;58114023,94;66203664,03;60369298,02;68364442,50;74887945,54;71379898,95;72042064,09;74402897,44;74782330,14;71909606,73;74767299,27;66121104,09;61484989,71;67958382,09;66824238,38;71239423,34;69768508,24;74087264,91;70438109,59;76137077,56;73697570,84;73485850,94;76068459,47;70300898,43;63869005,28;66348803,14;63889018,62;78473555,52;72144297,56;75504281,92;75464783,25;77437153,23;74878833,12;62378051,92;33619363,08;5921388309,58
"42 Santa Catarina";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;955,94;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;508,49;-;-;-;29123,45;100468,87;570434,64;793709,23;2394986,80;5021700,42;9825359,45;22445805,35;16963457,22;19192218,77;19378581,43;19672262,68;19866892,47;20599135,47;19568228,13;20886511,92;21621772,59;21294481,28;21249805,51;22342525,17;21005662,80;24634439,87;24023316,32;24320395,87;25260949,52;27341338,51;26670735,40;26292986,65;25893165,22;26072347,97;24796793,66;24145573,94;24075125,63;27647075,40;26110131,82;26891531,56;27381027,28;27670218,24;29028713,09;27518217,63;28208245,50;27613600,95;24773466,65;27133226,27;26448850,41;29550339,89;27984127,42;31080868,73;29188092,28;30064042,75;31404649,48;28737540,57;29493946,08;27947028,68;26188925,70;28676027,34;28341422,12;30706665,92;30014505,19;32869840,33;30594263,78;31793744,61;33637245,83;31199136,03;32774194,49;30682058,34;27092437,48;32210552,33;29109012,67;32475836,39;35609134,51;35081363,63;34734945,59;36366456,84;34959050,80;35135293,63;37589908,33;34584441,52;30014149,76;33571162,17;32160016,73;35019425,15;34833444,72;36109928,67;36508237,36;39068153,87;38330533,73;37826272,28;37147991,20;34666795,35;32453010,32;33709426,71;30747176,63;38154200,07;35720715,72;37436367,07;37407569,20;39296600,33;35347387,62;29749336,53;15524445,61;2763455507,52
"43 Rio Grande do Sul";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;873,76;244,65;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;411,36;1048,52;-;-;-;-;-;-;-;-;-;-;-;-;1199,87;-;-;-;347,90;-;-;-;-;-;-;-;11694,41;41320,60;581269,46;2367971,57;6548424,90;12073698,11;21151074,54;37964648,38;33468624,09;38814309,20;38134324,58;37845912,70;39380616,92;40862614,19;40917698,37;42454994,49;42687250,26;41392261,11;40287250,28;44360163,39;37515157,14;46785154,32;44250873,55;45953747,72;45252723,94;49721553,03;47252957,05;46409045,04;48165987,62;46138114,67;44159845,18;46711273,29;40916333,05;50913319,05;47974440,11;49988962,75;48479793,77;50984814,61;51458218,76;47576685,61;48587558,66;48954211,72;45242068,20;50005934,18;45793320,74;50907636,15;48090043,55;53067209,60;51831321,31;52406922,28;54486715,34;49598208,55;51302593,61;49494942,93;47600997,14;52655846,79;46735091,71;54885775,08;50910987,24;56671043,65;55130746,43;56601647,33;58198935,51;50815362,55;57125028,07;50544605,02;49289448,00;56938190,12;48464722,66;56055105,92;60992594,62;61271173,15;59865671,66;65178282,31;62688556,48;60814607,16;64279766,68;60473441,82;56395982,48;61329618,92;55697027,49;61702085,40;61098841,02;64311409,80;62362741,27;67006938,09;66266739,91;67247275,70;69367346,46;63754827,76;59587085,12;62503823,83;55039146,68;70067768,20;64481165,00;67378965,28;66103265,69;65477298,37;57224949,16;45653956,36;19195963,30;4931169783,08
